"order_nk","source_system","source_order_id","order_date","dim_customer_sk","dim_product_sk","dim_supplier_sk","dim_employee_sk","dim_category_sk","dim_channel_sk","gross_amount","net_amount"
"NORTHWIND_10590","NORTHWIND","10590","2007-07-07 00:00:00-03","1","1","1","-1","5","2","360.0000","360.0000"
"NORTHWIND_10918","NORTHWIND","10918","2008-03-02 00:00:00-03","1","1","1","-1","5","2","1080.0000","810.0000"
"NORTHWIND_10294","NORTHWIND","10294","2006-08-30 00:00:00-03","1","1","1","-1","5","2","259.2000","259.2000"
"NORTHWIND_10729","NORTHWIND","10729","2007-11-04 00:00:00-02","1","1","1","-1","5","2","900.0000","900.0000"
"NORTHWIND_10609","NORTHWIND","10609","2007-07-24 00:00:00-03","1","1","1","-1","5","2","54.0000","54.0000"
"NORTHWIND_10317","NORTHWIND","10317","2006-09-30 00:00:00-03","1","1","1","-1","5","2","288.0000","288.0000"
"NORTHWIND_11025","NORTHWIND","11025","2008-04-15 00:00:00-03","1","1","1","-1","5","2","180.0000","162.0000"
"NORTHWIND_11005","NORTHWIND","11005","2008-04-07 00:00:00-03","1","1","1","-1","5","2","36.0000","36.0000"
"NORTHWIND_11003","NORTHWIND","11003","2008-04-06 00:00:00-03","1","1","1","-1","5","2","72.0000","72.0000"
"NORTHWIND_11035","NORTHWIND","11035","2008-04-20 00:00:00-03","1","1","1","-1","5","2","180.0000","180.0000"
"NORTHWIND_10526","NORTHWIND","10526","2007-05-05 00:00:00-03","1","1","1","-1","5","2","144.0000","122.4000"
"NORTHWIND_10576","NORTHWIND","10576","2007-06-23 00:00:00-03","1","1","1","-1","5","2","180.0000","180.0000"
"NORTHWIND_10406","NORTHWIND","10406","2007-01-07 00:00:00-02","1","1","1","-1","5","2","144.0000","144.0000"
"NORTHWIND_10905","NORTHWIND","10905","2008-02-24 00:00:00-03","1","1","1","-1","5","2","360.0000","342.0000"
"NORTHWIND_11047","NORTHWIND","11047","2008-04-24 00:00:00-03","1","1","1","-1","5","2","450.0000","337.5000"
"NORTHWIND_11031","NORTHWIND","11031","2008-04-17 00:00:00-03","1","1","1","-1","5","2","810.0000","810.0000"
"NORTHWIND_10752","NORTHWIND","10752","2007-11-24 00:00:00-02","1","1","1","-1","5","2","144.0000","144.0000"
"NORTHWIND_11006","NORTHWIND","11006","2008-04-07 00:00:00-03","1","1","1","-1","5","2","144.0000","144.0000"
"NORTHWIND_10869","NORTHWIND","10869","2008-02-04 00:00:00-02","1","1","1","-1","5","2","720.0000","720.0000"
"NORTHWIND_11070","NORTHWIND","11070","2008-05-05 00:00:00-03","1","1","1","-1","5","2","720.0000","612.0000"
"NORTHWIND_10611","NORTHWIND","10611","2007-07-25 00:00:00-03","1","1","1","-1","5","2","108.0000","108.0000"
"NORTHWIND_10628","NORTHWIND","10628","2007-08-12 00:00:00-03","1","1","1","-1","5","2","450.0000","450.0000"
"NORTHWIND_10335","NORTHWIND","10335","2006-10-22 00:00:00-03","1","1","1","-1","5","2","106.4000","85.1200"
"NORTHWIND_10806","NORTHWIND","10806","2007-12-31 00:00:00-02","1","1","1","-1","5","2","380.0000","285.0000"
"NORTHWIND_10632","NORTHWIND","10632","2007-08-14 00:00:00-03","1","1","1","-1","5","2","570.0000","541.5000"
"NORTHWIND_10991","NORTHWIND","10991","2008-04-01 00:00:00-03","1","1","1","-1","5","2","950.0000","760.0000"
"NORTHWIND_10485","NORTHWIND","10485","2007-03-25 00:00:00-03","1","1","1","-1","5","2","304.0000","273.6000"
"NORTHWIND_10440","NORTHWIND","10440","2007-02-10 00:00:00-02","1","1","1","-1","5","2","684.0000","581.4000"
"NORTHWIND_10641","NORTHWIND","10641","2007-08-22 00:00:00-03","1","1","1","-1","5","2","950.0000","950.0000"
"NORTHWIND_11030","NORTHWIND","11030","2008-04-17 00:00:00-03","1","1","1","-1","5","2","1900.0000","1425.0000"
"NORTHWIND_10327","NORTHWIND","10327","2006-10-11 00:00:00-03","1","1","1","-1","5","2","380.0000","304.0000"
"NORTHWIND_11021","NORTHWIND","11021","2008-04-14 00:00:00-03","1","1","1","-1","5","2","209.0000","156.7500"
"NORTHWIND_10703","NORTHWIND","10703","2007-10-14 01:00:00-02","1","1","1","-1","5","2","95.0000","95.0000"
"NORTHWIND_10787","NORTHWIND","10787","2007-12-19 00:00:00-02","1","1","1","-1","5","2","285.0000","270.7500"
"NORTHWIND_10504","NORTHWIND","10504","2007-04-11 00:00:00-03","1","1","1","-1","5","2","228.0000","228.0000"
"NORTHWIND_10792","NORTHWIND","10792","2007-12-23 00:00:00-02","1","1","1","-1","5","2","190.0000","190.0000"
"NORTHWIND_11077","NORTHWIND","11077","2008-05-06 00:00:00-03","1","1","1","-1","5","2","456.0000","364.8000"
"NORTHWIND_10885","NORTHWIND","10885","2008-02-12 00:00:00-02","1","1","1","-1","5","2","380.0000","380.0000"
"NORTHWIND_10611","NORTHWIND","10611","2007-07-25 00:00:00-03","1","1","1","-1","5","2","190.0000","190.0000"
"NORTHWIND_10258","NORTHWIND","10258","2006-07-17 00:00:00-03","1","1","1","-1","5","2","760.0000","608.0000"
"NORTHWIND_10741","NORTHWIND","10741","2007-11-14 00:00:00-02","1","1","1","-1","5","2","285.0000","228.0000"
"NORTHWIND_10264","NORTHWIND","10264","2006-07-24 00:00:00-03","1","1","1","-1","5","2","532.0000","532.0000"
"NORTHWIND_10888","NORTHWIND","10888","2008-02-16 00:00:00-02","1","1","1","-1","5","2","380.0000","380.0000"
"NORTHWIND_11041","NORTHWIND","11041","2008-04-22 00:00:00-03","1","1","1","-1","5","2","570.0000","456.0000"
"NORTHWIND_11075","NORTHWIND","11075","2008-05-06 00:00:00-03","1","1","1","-1","5","2","190.0000","161.5000"
"NORTHWIND_10829","NORTHWIND","10829","2008-01-13 00:00:00-02","1","1","1","-1","5","2","190.0000","190.0000"
"NORTHWIND_10393","NORTHWIND","10393","2006-12-25 00:00:00-02","1","1","1","-1","5","2","380.0000","285.0000"
"NORTHWIND_10418","NORTHWIND","10418","2007-01-17 00:00:00-02","1","1","1","-1","5","2","912.0000","912.0000"
"NORTHWIND_10813","NORTHWIND","10813","2008-01-05 00:00:00-02","1","1","1","-1","5","2","228.0000","182.4000"
"NORTHWIND_10939","NORTHWIND","10939","2008-03-10 00:00:00-03","1","1","1","-1","5","2","190.0000","161.5000"
"NORTHWIND_10622","NORTHWIND","10622","2007-08-06 00:00:00-03","1","1","1","-1","5","2","380.0000","380.0000"
"NORTHWIND_10714","NORTHWIND","10714","2007-10-22 00:00:00-02","1","1","1","-1","5","2","570.0000","427.5000"
"NORTHWIND_11072","NORTHWIND","11072","2008-05-05 00:00:00-03","1","1","1","-1","5","2","152.0000","152.0000"
"NORTHWIND_11049","NORTHWIND","11049","2008-04-24 00:00:00-03","1","1","1","-1","5","2","190.0000","152.0000"
"NORTHWIND_10298","NORTHWIND","10298","2006-09-05 00:00:00-03","1","1","1","-1","5","2","608.0000","608.0000"
"NORTHWIND_10851","NORTHWIND","10851","2008-01-26 00:00:00-02","1","1","1","-1","5","2","95.0000","90.2500"
"NORTHWIND_10435","NORTHWIND","10435","2007-02-04 00:00:00-02","1","1","1","-1","5","2","152.0000","152.0000"
"NORTHWIND_11070","NORTHWIND","11070","2008-05-05 00:00:00-03","1","1","1","-1","5","2","380.0000","323.0000"
"NORTHWIND_10342","NORTHWIND","10342","2006-10-30 00:00:00-03","1","1","1","-1","5","2","364.8000","291.8400"
"NORTHWIND_10766","NORTHWIND","10766","2007-12-05 00:00:00-02","1","1","1","-1","5","2","760.0000","760.0000"
"NORTHWIND_10852","NORTHWIND","10852","2008-01-26 00:00:00-02","1","1","1","-1","5","2","285.0000","285.0000"
"NORTHWIND_10469","NORTHWIND","10469","2007-03-10 00:00:00-03","1","1","1","-1","5","2","608.0000","516.8000"
"NORTHWIND_10856","NORTHWIND","10856","2008-01-28 00:00:00-02","1","1","1","-1","5","2","380.0000","380.0000"
"NORTHWIND_10255","NORTHWIND","10255","2006-07-12 00:00:00-03","1","1","1","-1","5","2","304.0000","304.0000"
"NORTHWIND_10722","NORTHWIND","10722","2007-10-29 00:00:00-02","1","1","1","-1","5","2","57.0000","57.0000"
"NORTHWIND_10866","NORTHWIND","10866","2008-02-03 00:00:00-02","1","1","1","-1","5","2","399.0000","299.2500"
"NORTHWIND_10764","NORTHWIND","10764","2007-12-03 00:00:00-02","1","1","1","-1","6","2","200.0000","180.0000"
"NORTHWIND_10485","NORTHWIND","10485","2007-03-25 00:00:00-03","1","1","1","-1","6","2","160.0000","144.0000"
"NORTHWIND_10405","NORTHWIND","10405","2007-01-06 00:00:00-02","1","1","1","-1","6","2","400.0000","400.0000"
"NORTHWIND_10742","NORTHWIND","10742","2007-11-14 00:00:00-02","1","1","1","-1","6","2","200.0000","200.0000"
"NORTHWIND_10702","NORTHWIND","10702","2007-10-13 00:00:00-03","1","1","1","-1","6","2","60.0000","60.0000"
"NORTHWIND_10849","NORTHWIND","10849","2008-01-23 00:00:00-02","1","1","1","-1","6","2","490.0000","490.0000"
"NORTHWIND_10540","NORTHWIND","10540","2007-05-19 00:00:00-03","1","1","1","-1","6","2","600.0000","600.0000"
"NORTHWIND_10591","NORTHWIND","10591","2007-07-07 00:00:00-03","1","1","1","-1","6","2","140.0000","140.0000"
"NORTHWIND_10857","NORTHWIND","10857","2008-01-28 00:00:00-02","1","1","1","-1","6","2","300.0000","300.0000"
"NORTHWIND_11077","NORTHWIND","11077","2008-05-06 00:00:00-03","1","1","1","-1","6","2","40.0000","40.0000"
"NORTHWIND_11017","NORTHWIND","11017","2008-04-13 00:00:00-03","1","1","1","-1","6","2","250.0000","250.0000"
"NORTHWIND_10289","NORTHWIND","10289","2006-08-26 00:00:00-03","1","1","1","-1","6","2","240.0000","240.0000"
"NORTHWIND_10527","NORTHWIND","10527","2007-05-05 00:00:00-03","1","1","1","-1","6","2","1100.0000","990.0000"
"NORTHWIND_10533","NORTHWIND","10533","2007-05-12 00:00:00-03","1","1","1","-1","6","2","1100.0000","1045.0000"
"NORTHWIND_10326","NORTHWIND","10326","2006-10-10 00:00:00-03","1","1","1","-1","6","2","422.4000","422.4000"
"NORTHWIND_10704","NORTHWIND","10704","2007-10-14 01:00:00-02","1","1","1","-1","6","2","132.0000","132.0000"
"NORTHWIND_10846","NORTHWIND","10846","2008-01-22 00:00:00-02","1","1","1","-1","6","2","462.0000","462.0000"
"NORTHWIND_10344","NORTHWIND","10344","2006-11-01 00:00:00-03","1","1","1","-1","6","2","616.0000","616.0000"
"NORTHWIND_11000","NORTHWIND","11000","2008-04-06 00:00:00-03","1","1","1","-1","6","2","550.0000","412.5000"
"NORTHWIND_10511","NORTHWIND","10511","2007-04-18 00:00:00-03","1","1","1","-1","6","2","1100.0000","935.0000"
"NORTHWIND_10726","NORTHWIND","10726","2007-11-03 00:00:00-02","1","1","1","-1","6","2","550.0000","550.0000"
"NORTHWIND_10950","NORTHWIND","10950","2008-03-16 00:00:00-03","1","1","1","-1","6","2","110.0000","110.0000"
"NORTHWIND_11077","NORTHWIND","11077","2008-05-06 00:00:00-03","1","1","1","-1","6","2","22.0000","22.0000"
"NORTHWIND_10464","NORTHWIND","10464","2007-03-04 00:00:00-03","1","1","1","-1","6","2","281.6000","225.2800"
"NORTHWIND_10339","NORTHWIND","10339","2006-10-28 00:00:00-03","1","1","1","-1","6","2","176.0000","176.0000"
"NORTHWIND_10606","NORTHWIND","10606","2007-07-22 00:00:00-03","1","1","1","-1","6","2","440.0000","352.0000"
"NORTHWIND_10336","NORTHWIND","10336","2006-10-23 00:00:00-03","1","1","1","-1","6","2","316.8000","285.1200"
"NORTHWIND_10654","NORTHWIND","10654","2007-09-02 00:00:00-03","1","1","1","-1","6","2","264.0000","237.6000"
"NORTHWIND_10309","NORTHWIND","10309","2006-09-19 00:00:00-03","1","1","1","-1","6","2","352.0000","352.0000"
"NORTHWIND_10913","NORTHWIND","10913","2008-02-26 00:00:00-03","1","1","1","-1","6","2","660.0000","495.0000"
"NORTHWIND_10636","NORTHWIND","10636","2007-08-19 00:00:00-03","1","1","1","-1","6","2","550.0000","550.0000"
"NORTHWIND_10635","NORTHWIND","10635","2007-08-18 00:00:00-03","1","1","1","-1","6","2","220.0000","198.0000"
"NORTHWIND_10848","NORTHWIND","10848","2008-01-23 00:00:00-02","1","1","1","-1","6","2","640.5000","640.5000"
"NORTHWIND_10635","NORTHWIND","10635","2007-08-18 00:00:00-03","1","1","1","-1","6","2","320.2500","288.2250"
"NORTHWIND_10708","NORTHWIND","10708","2007-10-17 00:00:00-02","1","1","1","-1","6","2","85.4000","85.4000"
"NORTHWIND_10290","NORTHWIND","10290","2006-08-27 00:00:00-03","1","1","1","-1","6","2","340.0000","340.0000"
"NORTHWIND_10958","NORTHWIND","10958","2008-03-18 00:00:00-03","1","1","1","-1","6","2","427.0000","427.0000"
"NORTHWIND_11030","NORTHWIND","11030","2008-04-17 00:00:00-03","1","1","1","-1","6","2","1494.5000","1494.5000"
"NORTHWIND_11047","NORTHWIND","11047","2008-04-24 00:00:00-03","1","1","1","-1","6","2","640.5000","480.3750"
"NORTHWIND_10262","NORTHWIND","10262","2006-07-22 00:00:00-03","1","1","1","-1","6","2","204.0000","163.2000"
"NORTHWIND_10258","NORTHWIND","10258","2006-07-17 00:00:00-03","1","1","1","-1","6","2","1105.0000","884.0000"
"NORTHWIND_10382","NORTHWIND","10382","2006-12-13 00:00:00-02","1","1","1","-1","6","2","544.0000","544.0000"
"NORTHWIND_11076","NORTHWIND","11076","2008-05-06 00:00:00-03","1","1","1","-1","6","2","500.0000","375.0000"
"NORTHWIND_10871","NORTHWIND","10871","2008-02-05 00:00:00-02","1","1","1","-1","6","2","1250.0000","1187.5000"
"NORTHWIND_11077","NORTHWIND","11077","2008-05-06 00:00:00-03","1","1","1","-1","6","2","25.0000","24.5000"
"NORTHWIND_10325","NORTHWIND","10325","2006-10-09 00:00:00-03","1","1","1","-1","6","2","120.0000","120.0000"
"NORTHWIND_10618","NORTHWIND","10618","2007-08-01 00:00:00-03","1","1","1","-1","6","2","1750.0000","1750.0000"
"NORTHWIND_10734","NORTHWIND","10734","2007-11-07 00:00:00-02","1","1","1","-1","6","2","750.0000","750.0000"
"NORTHWIND_10952","NORTHWIND","10952","2008-03-16 00:00:00-03","1","1","1","-1","6","2","400.0000","380.0000"
"NORTHWIND_10830","NORTHWIND","10830","2008-01-13 00:00:00-02","1","1","1","-1","6","2","150.0000","150.0000"
"NORTHWIND_10934","NORTHWIND","10934","2008-03-09 00:00:00-03","1","1","1","-1","6","2","500.0000","500.0000"
"NORTHWIND_10989","NORTHWIND","10989","2008-03-31 00:00:00-03","1","1","1","-1","6","2","1000.0000","1000.0000"
"NORTHWIND_10309","NORTHWIND","10309","2006-09-19 00:00:00-03","1","1","1","-1","6","2","600.0000","600.0000"
"NORTHWIND_10949","NORTHWIND","10949","2008-03-13 00:00:00-03","1","1","1","-1","6","2","300.0000","300.0000"
"NORTHWIND_10591","NORTHWIND","10591","2007-07-07 00:00:00-03","1","1","1","-1","11","2","300.0000","300.0000"
"NORTHWIND_10962","NORTHWIND","10962","2008-03-19 00:00:00-03","1","1","1","-1","11","2","1350.0000","1350.0000"
"NORTHWIND_10459","NORTHWIND","10459","2007-02-27 00:00:00-03","1","1","1","-1","11","2","384.0000","364.8000"
"NORTHWIND_11001","NORTHWIND","11001","2008-04-06 00:00:00-03","1","1","1","-1","11","2","1800.0000","1800.0000"
"NORTHWIND_11010","NORTHWIND","11010","2008-04-09 00:00:00-03","1","1","1","-1","11","2","600.0000","600.0000"
"NORTHWIND_10471","NORTHWIND","10471","2007-03-11 00:00:00-03","1","1","1","-1","11","2","720.0000","720.0000"
"NORTHWIND_10694","NORTHWIND","10694","2007-10-06 00:00:00-03","1","1","1","-1","11","2","2700.0000","2700.0000"
"NORTHWIND_10979","NORTHWIND","10979","2008-03-26 00:00:00-03","1","1","1","-1","11","2","540.0000","540.0000"
"NORTHWIND_10385","NORTHWIND","10385","2006-12-17 00:00:00-02","1","1","1","-1","11","2","240.0000","192.0000"
"NORTHWIND_11071","NORTHWIND","11071","2008-05-05 00:00:00-03","1","1","1","-1","11","2","450.0000","427.5000"
"NORTHWIND_10546","NORTHWIND","10546","2007-05-23 00:00:00-03","1","1","1","-1","11","2","300.0000","300.0000"
"NORTHWIND_10766","NORTHWIND","10766","2007-12-05 00:00:00-02","1","1","1","-1","11","2","1050.0000","1050.0000"
"NORTHWIND_10908","NORTHWIND","10908","2008-02-26 00:00:00-03","1","1","1","-1","11","2","600.0000","570.0000"
"NORTHWIND_10511","NORTHWIND","10511","2007-04-18 00:00:00-03","1","1","1","-1","11","2","1500.0000","1275.0000"
"NORTHWIND_10987","NORTHWIND","10987","2008-03-31 00:00:00-03","1","1","1","-1","11","2","1800.0000","1800.0000"
"NORTHWIND_10858","NORTHWIND","10858","2008-01-29 00:00:00-02","1","1","1","-1","11","2","150.0000","150.0000"
"NORTHWIND_10909","NORTHWIND","10909","2008-02-26 00:00:00-03","1","1","1","-1","11","2","360.0000","360.0000"
"NORTHWIND_10790","NORTHWIND","10790","2007-12-22 00:00:00-02","1","1","1","-1","11","2","90.0000","76.5000"
"NORTHWIND_10988","NORTHWIND","10988","2008-03-31 00:00:00-03","1","1","1","-1","11","2","1800.0000","1800.0000"
"NORTHWIND_10940","NORTHWIND","10940","2008-03-11 00:00:00-03","1","1","1","-1","11","2","240.0000","240.0000"
"NORTHWIND_10262","NORTHWIND","10262","2006-07-22 00:00:00-03","1","1","1","-1","11","2","360.0000","360.0000"
"NORTHWIND_10634","NORTHWIND","10634","2007-08-15 00:00:00-03","1","1","1","-1","11","2","1050.0000","1050.0000"
"NORTHWIND_11023","NORTHWIND","11023","2008-04-14 00:00:00-03","1","1","1","-1","11","2","120.0000","120.0000"
"NORTHWIND_11056","NORTHWIND","11056","2008-04-28 00:00:00-03","1","1","1","-1","11","2","1200.0000","1200.0000"
"NORTHWIND_10833","NORTHWIND","10833","2008-01-15 00:00:00-02","1","1","1","-1","11","2","600.0000","540.0000"
"NORTHWIND_10958","NORTHWIND","10958","2008-03-18 00:00:00-03","1","1","1","-1","11","2","180.0000","180.0000"
"NORTHWIND_10982","NORTHWIND","10982","2008-03-27 00:00:00-03","1","1","1","-1","11","2","600.0000","600.0000"
"NORTHWIND_10607","NORTHWIND","10607","2007-07-22 00:00:00-03","1","1","1","-1","11","2","1350.0000","1350.0000"
"NORTHWIND_11077","NORTHWIND","11077","2008-05-06 00:00:00-03","1","1","1","-1","11","2","30.0000","28.5000"
"NORTHWIND_10522","NORTHWIND","10522","2007-04-30 00:00:00-03","1","1","1","-1","6","2","960.0000","960.0000"
"NORTHWIND_10511","NORTHWIND","10511","2007-04-18 00:00:00-03","1","1","1","-1","6","2","400.0000","340.0000"
"NORTHWIND_10709","NORTHWIND","10709","2007-10-17 00:00:00-02","1","1","1","-1","6","2","1600.0000","1600.0000"
"NORTHWIND_10344","NORTHWIND","10344","2006-11-01 00:00:00-03","1","1","1","-1","6","2","2240.0000","1680.0000"
"NORTHWIND_10978","NORTHWIND","10978","2008-03-26 00:00:00-03","1","1","1","-1","6","2","800.0000","680.0000"
"NORTHWIND_10786","NORTHWIND","10786","2007-12-19 00:00:00-02","1","1","1","-1","6","2","1200.0000","960.0000"
"NORTHWIND_10345","NORTHWIND","10345","2006-11-04 00:00:00-03","1","1","1","-1","6","2","2240.0000","2240.0000"
"NORTHWIND_10829","NORTHWIND","10829","2008-01-13 00:00:00-02","1","1","1","-1","6","2","800.0000","800.0000"
"NORTHWIND_11007","NORTHWIND","11007","2008-04-08 00:00:00-03","1","1","1","-1","6","2","1200.0000","1200.0000"
"NORTHWIND_10893","NORTHWIND","10893","2008-02-18 00:00:00-03","1","1","1","-1","6","2","1200.0000","1200.0000"
"NORTHWIND_10695","NORTHWIND","10695","2007-10-07 00:00:00-03","1","1","1","-1","6","2","400.0000","400.0000"
"NORTHWIND_11077","NORTHWIND","11077","2008-05-06 00:00:00-03","1","1","1","-1","6","2","80.0000","72.0000"
"NORTHWIND_10975","NORTHWIND","10975","2008-03-25 00:00:00-03","1","1","1","-1","6","2","640.0000","640.0000"
"NORTHWIND_10420","NORTHWIND","10420","2007-01-21 00:00:00-02","1","1","1","-1","10","2","1552.0000","1396.8000"
"NORTHWIND_10515","NORTHWIND","10515","2007-04-23 00:00:00-03","1","1","1","-1","10","2","1552.0000","1319.2000"
"NORTHWIND_10687","NORTHWIND","10687","2007-09-30 00:00:00-03","1","1","1","-1","10","2","4850.0000","3637.5000"
"NORTHWIND_10848","NORTHWIND","10848","2008-01-23 00:00:00-02","1","1","1","-1","10","2","291.0000","291.0000"
"NORTHWIND_10693","NORTHWIND","10693","2007-10-06 00:00:00-03","1","1","1","-1","10","2","582.0000","582.0000"
"NORTHWIND_10612","NORTHWIND","10612","2007-07-28 00:00:00-03","1","1","1","-1","12","2","2170.0000","2170.0000"
"NORTHWIND_10609","NORTHWIND","10609","2007-07-24 00:00:00-03","1","1","1","-1","12","2","310.0000","310.0000"
"NORTHWIND_10775","NORTHWIND","10775","2007-12-12 00:00:00-02","1","1","1","-1","12","2","186.0000","186.0000"
"NORTHWIND_10357","NORTHWIND","10357","2006-11-19 00:00:00-02","1","1","1","-1","12","2","744.0000","595.2000"
"NORTHWIND_10785","NORTHWIND","10785","2007-12-18 00:00:00-02","1","1","1","-1","12","2","310.0000","310.0000"
"NORTHWIND_10685","NORTHWIND","10685","2007-09-29 00:00:00-03","1","1","1","-1","12","2","620.0000","620.0000"
"NORTHWIND_10886","NORTHWIND","10886","2008-02-13 00:00:00-02","1","1","1","-1","12","2","2170.0000","2170.0000"
"NORTHWIND_10478","NORTHWIND","10478","2007-03-18 00:00:00-03","1","1","1","-1","12","2","496.0000","471.2000"
"NORTHWIND_10713","NORTHWIND","10713","2007-10-22 00:00:00-02","1","1","1","-1","12","2","558.0000","558.0000"
"NORTHWIND_10676","NORTHWIND","10676","2007-09-22 00:00:00-03","1","1","1","-1","12","2","62.0000","62.0000"
"NORTHWIND_10273","NORTHWIND","10273","2006-08-05 00:00:00-03","1","1","1","-1","12","2","595.2000","565.4400"
"NORTHWIND_10276","NORTHWIND","10276","2006-08-08 00:00:00-03","1","1","1","-1","12","2","372.0000","372.0000"
"NORTHWIND_10715","NORTHWIND","10715","2007-10-23 00:00:00-02","1","1","1","-1","12","2","651.0000","651.0000"
"NORTHWIND_10724","NORTHWIND","10724","2007-10-30 00:00:00-02","1","1","1","-1","12","2","496.0000","496.0000"
"NORTHWIND_10664","NORTHWIND","10664","2007-09-10 00:00:00-03","1","1","1","-1","12","2","744.0000","632.4000"
"NORTHWIND_10854","NORTHWIND","10854","2008-01-27 00:00:00-02","1","1","1","-1","12","2","3100.0000","2635.0000"
"NORTHWIND_10874","NORTHWIND","10874","2008-02-06 00:00:00-02","1","1","1","-1","12","2","310.0000","310.0000"
